Batch_Name,DATE,COUNTS
Batch26,7/1/2020,5
Batch26,7/2/2020,5
Batch26,7/3/2020,5
Batch26,7/4/2020,5
Batch26,7/5/2020,5
Batch26,7/6/2020,5
Batch26,7/7/2020,5
Batch26,7/8/2020,5
Batch26,7/9/2020,5
Batch26,7/10/2020,5
Batch26,7/11/2020,5
Batch26,7/12/2020,5
Batch26,7/13/2020,5
Batch26,7/14/2020,5
Batch26,7/15/2020,5
Batch26,7/16/2020,5
Batch26,7/17/2020,5
Batch26,7/18/2020,5
Batch26,7/19/2020,5
Batch26,7/20/2020,5
Batch27,5/22/2020,8
Batch27,5/23/2020,8
Batch27,5/24/2020,8
Batch27,5/25/2020,8
Batch27,5/26/2020,8
Batch27,5/27/2020,8
Batch27,5/28/2020,8
Batch27,5/29/2020,8
Batch27,5/30/2020,8
Batch27,5/31/2020,8
Batch27,6/1/2020,8
Batch27,6/2/2020,8
Batch27,6/3/2020,8
Batch27,6/4/2020,8
Batch27,6/5/2020,8
Batch27,6/6/2020,8
Batch27,6/7/2020,8
Batch27,6/8/2020,8
Batch27,6/9/2020,8
Batch27,6/10/2020,8
Batch27,6/11/2020,8
Batch27,6/12/2020,8
Batch27,6/13/2020,8
Batch27,6/14/2020,8
Batch27,6/15/2020,8
Batch27,6/16/2020,8
Batch27,6/17/2020,8
Batch27,6/18/2020,8
Batch27,6/19/2020,8
Batch27,6/20/2020,8
Batch27,6/21/2020,8
Batch27,6/22/2020,8
Batch27,6/23/2020,8
Batch27,6/24/2020,8
Batch27,6/25/2020,8
Batch27,6/26/2020,8
Batch27,6/27/2020,8
Batch27,6/28/2020,8
Batch27,6/29/2020,8
Batch27,6/30/2020,8
Batch27,7/1/2020,8
Batch27,7/2/2020,8
Batch27,7/3/2020,8
Batch27,7/4/2020,8
Batch27,7/5/2020,8
Batch27,7/6/2020,8
Batch27,7/7/2020,8
Batch27,7/8/2020,8
Batch27,7/9/2020,8
Batch27,7/10/2020,8
Batch27,7/11/2020,8
Batch27,7/12/2020,8
Batch27,7/13/2020,8
Batch27,7/14/2020,8
Batch27,7/15/2020,8
Batch27,7/16/2020,8
Batch27,7/17/2020,8
Batch27,7/18/2020,8
Batch27,7/19/2020,8
Batch27,7/20/2020,8
Batch28,5/22/2020,22
Batch28,5/23/2020,22
Batch28,5/24/2020,22
Batch28,5/25/2020,22
Batch28,5/26/2020,22
Batch28,5/27/2020,22
Batch28,5/28/2020,22
Batch28,5/29/2020,22
Batch28,5/30/2020,22
Batch28,5/31/2020,22
Batch28,6/1/2020,22
Batch28,6/2/2020,22
Batch28,6/3/2020,22
Batch28,6/4/2020,22
Batch28,6/5/2020,22
Batch28,6/6/2020,22
Batch28,6/7/2020,22
Batch28,6/8/2020,22
Batch28,6/9/2020,22
Batch28,6/10/2020,22
Batch28,6/11/2020,22
Batch28,6/12/2020,22
Batch28,6/13/2020,22
Batch28,6/14/2020,22
Batch28,6/15/2020,22
Batch28,6/16/2020,22
Batch28,6/17/2020,22
Batch28,6/18/2020,22
Batch28,6/19/2020,22
Batch28,6/20/2020,22
Batch28,6/21/2020,22
Batch28,6/22/2020,22
Batch28,6/23/2020,22
Batch28,6/24/2020,22
Batch28,6/25/2020,22
Batch28,6/26/2020,22
Batch28,6/27/2020,22
Batch28,6/28/2020,22
Batch28,6/29/2020,22
Batch28,6/30/2020,22
Batch28,7/1/2020,22
Batch28,7/2/2020,22
Batch28,7/3/2020,22
Batch28,7/4/2020,22
Batch28,7/5/2020,22
Batch28,7/6/2020,22
Batch28,7/7/2020,22
Batch28,7/8/2020,22
Batch28,7/9/2020,22
Batch28,7/10/2020,22
Batch28,7/11/2020,22
Batch28,7/12/2020,22
Batch28,7/13/2020,22
Batch28,7/14/2020,22
Batch28,7/15/2020,22
Batch28,7/16/2020,22
Batch28,7/17/2020,22
Batch28,7/18/2020,22
Batch28,7/19/2020,22
Batch28,7/20/2020,22
Batch28,7/21/2020,22
Batch29,5/22/2020,425
Batch29,5/23/2020,428
Batch29,5/24/2020,428
Batch29,5/25/2020,420
Batch29,5/26/2020,432
Batch29,5/27/2020,425
Batch29,5/28/2020,431
Batch29,5/29/2020,424
Batch29,5/30/2020,420
Batch29,5/31/2020,420
Batch29,6/1/2020,429
Batch29,6/2/2020,427
Batch29,6/3/2020,423
Batch29,6/4/2020,424
Batch29,6/5/2020,428
Batch29,6/6/2020,430
Batch29,6/7/2020,430
Batch29,6/8/2020,427
Batch29,6/9/2020,428
Batch29,6/10/2020,434
Batch29,6/11/2020,434
Batch29,6/12/2020,434
Batch29,6/13/2020,433
Batch29,6/14/2020,434
Batch29,6/15/2020,437
Batch29,6/16/2020,431
Batch29,6/17/2020,428
Batch29,6/18/2020,433
Batch29,6/19/2020,431
Batch29,6/20/2020,433
Batch29,6/21/2020,428
Batch29,6/22/2020,434
Batch29,6/23/2020,435
Batch29,6/24/2020,435
Batch29,6/25/2020,431
Batch29,6/26/2020,436
Batch29,6/27/2020,433
Batch29,6/28/2020,433
Batch29,6/29/2020,434
Batch29,6/30/2020,300
Batch29,7/1/2020,49
Batch29,7/2/2020,431
Batch29,7/3/2020,436
Batch29,7/4/2020,439
Batch29,7/5/2020,432
Batch29,7/6/2020,438
Batch29,7/7/2020,435
Batch29,7/8/2020,436
Batch29,7/9/2020,437
Batch29,7/10/2020,437
Batch29,7/11/2020,435
Batch29,7/13/2020,612
Batch29,7/14/2020,335
Batch29,7/15/2020,304
Batch29,7/16/2020,48
Batch29,7/17/2020,437
Batch29,7/18/2020,437
Batch29,7/19/2020,437
Batch29,7/20/2020,378
Batch29,7/21/2020,437
Batch30,5/22/2020,168
Batch30,5/23/2020,168
Batch30,5/24/2020,168
Batch30,5/25/2020,140
Batch30,5/26/2020,166
Batch30,5/27/2020,168
Batch30,5/28/2020,166
Batch30,5/29/2020,166
Batch30,5/30/2020,168
Batch30,5/31/2020,168
Batch30,6/1/2020,168
Batch30,6/2/2020,168
Batch30,6/3/2020,189
Batch30,6/4/2020,170
Batch30,6/5/2020,183
Batch30,6/6/2020,192
Batch30,6/7/2020,192
Batch30,6/8/2020,186
Batch30,6/9/2020,189
Batch30,6/10/2020,192
Batch30,6/11/2020,186
Batch30,6/12/2020,192
Batch30,6/13/2020,192
Batch30,6/14/2020,192
Batch30,6/15/2020,192
Batch30,6/16/2020,192
Batch30,6/17/2020,192
Batch30,6/18/2020,192
Batch30,6/19/2020,192
Batch30,6/20/2020,181
Batch30,6/21/2020,192
Batch30,6/22/2020,192
